date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-09 07:00:00,38.5,1.16,113.9,92.9,18.4,1015.3,1.584
2022-09-09 07:15:00,98.1,1.29,115.7,90.7,19.0,1015.4,4.356
2022-09-09 07:30:00,157.6,1.42,117.6,88.6,19.5,1015.5,6.0
2022-09-09 07:45:00,217.2,1.55,119.4,86.4,20.1,1015.6,8.428
2022-09-09 08:00:00,276.7,1.68,121.2,84.2,20.6,1015.6,12.838
2022-09-09 08:15:00,278.3,1.55,116.8,84.3,20.8,1015.5,15.15
2022-09-09 08:30:00,279.9,1.42,112.4,84.4,20.9,1015.4,17.069
2022-09-09 08:45:00,281.5,1.29,108.0,84.4,21.0,1015.3,20.1
2022-09-09 09:00:00,283.1,1.16,103.6,84.5,21.1,1015.2,20.806
2022-09-09 09:15:00,312.6,1.17,100.2,84.1,21.2,1015.2,22.344
2022-09-09 09:30:00,342.0,1.18,96.9,83.8,21.2,1015.1,19.306
2022-09-09 09:45:00,371.5,1.19,93.6,83.4,21.3,1015.0,20.808
2022-09-09 10:00:00,400.9,1.19,90.3,83.0,21.4,1014.9,24.75
2022-09-09 10:15:00,425.2,1.19,88.3,82.4,21.5,1014.7,29.596
2022-09-09 10:30:00,449.4,1.18,86.4,81.8,21.6,1014.6,33.264
2022-09-09 10:45:00,473.6,1.18,84.4,81.3,21.8,1014.5,40.376
2022-09-09 11:00:00,497.8,1.17,82.4,80.7,21.9,1014.3,31.185
2022-09-09 11:15:00,506.7,1.1,82.6,80.2,22.0,1014.2,39.289
2022-09-09 11:30:00,515.6,1.03,82.8,79.8,22.2,1014.1,54.136
2022-09-09 11:45:00,524.5,0.96,82.9,79.4,22.3,1014.0,49.098
2022-09-09 12:00:00,533.4,0.88,83.1,78.9,22.5,1013.9,51.058
2022-09-09 12:15:00,542.1,0.86,85.5,78.6,22.5,1013.7,53.856
2022-09-09 12:30:00,550.9,0.83,87.8,78.3,22.6,1013.5,55.449
2022-09-09 12:45:00,559.7,0.8,90.2,77.9,22.7,1013.3,54.035
2022-09-09 13:00:00,568.5,0.77,92.6,77.6,22.8,1013.1,54.252
2022-09-09 13:15:00,562.0,0.79,97.7,77.3,22.9,1013.0,59.682
2022-09-09 13:30:00,555.6,0.8,102.9,77.0,22.9,1012.8,72.013
2022-09-09 13:45:00,549.1,0.82,108.1,76.7,23.0,1012.7,85.345
2022-09-09 14:00:00,542.6,0.83,113.2,76.4,23.1,1012.5,94.2
