,date,Plate temp,scene temp,foreTotalRadiation,powerA,powerB,powerC,average power,foreWindSpeed,foreWindDirection,OT
0,2019/1/1 0:00,-19.14,-17.4,34,976.86,155.98,1087.5,740.11,0.6,272,1.437751581
1,2019/1/1 1:00,-18.73,-17.3,30,1128.4,172.08,1132.56,811.01,0.8,275,1.692574814
2,2019/1/1 2:00,-17.54,-17,41,1279.25,166.06,1310.4,918.57,1.1,283,1.975787459
3,2019/1/1 3:00,-15.43,-16.6,53,1474.6,225.37,1517.34,1072.44,0.9,280,2.370655595
4,2019/1/1 4:00,-14.6,-16.3,65,1548.51,233.28,1674.4,1152.06,1.1,280,2.532091305
5,2019/1/1 5:00,-14.1,-16.2,76,1619.93,538.72,1723.12,1293.92,0.9,278,2.779719016
6,2019/1/1 6:00,-11.25,-15.9,96,1865.82,1865.82,1979.25,1903.63,1.5,277,3.832377845
7,2019/1/1 7:00,-10.77,-15.8,100,1923.9,1900.8,2011.59,1945.43,1.5,281,3.956691872
8,2019/1/1 8:00,-10.77,-15.8,100,470096.58,4517.73,294.25,158302.85,1.5,281,5.440740511
9,2019/1/1 9:00,-8.33,-14.7,122,2134.16,2151,2272.89,2186.02,0.7,278,4.501339205
10,2019/1/1 10:00,-5.52,-13.9,142,2402.81,2402.81,2495.68,2433.77,0,265,5.135805356
11,2019/1/1 11:00,-4.6,-13.9,159,2633.38,2644.18,2675.2,2650.92,1.2,276,5.632253547
12,2019/1/1 12:00,-3.7,-13.4,187,2903.39,2938.54,3042.34,2961.42,1.8,282,6.240379858
13,2019/1/1 13:00,-3.79,-13.1,189,2970.88,2958.22,3059,2996.03,1.8,283,6.32529002
14,2019/1/1 14:00,-2.85,-12,213,3243.24,3257.34,3329.05,3276.54,1.2,279,6.893458775
15,2019/1/1 15:00,-1.23,-11.4,229,3354.12,3408.6,3491.4,3418.04,0.5,268,7.194232037
16,2019/1/1 16:00,0.02,-11.5,233,3471.93,3503.7,3508.8,3494.81,1.5,281,7.409266423
17,2019/1/1 17:00,0.12,-11,243,3501.52,3526.04,3617.25,3548.27,1.1,278,7.486756185
18,2019/1/1 18:00,0.14,-10.8,245,3519,3555.15,3654.84,3576.33,1.4,279,7.524506052
19,2019/1/1 19:00,0.49,-10.7,250,3632.64,3654.05,3716.67,3667.79,1.4,273,7.727475919
20,2019/1/1 20:00,0.95,-10.5,262,3690.68,3715.52,3823.56,3743.25,1.6,275,7.859372553
21,2019/1/1 21:00,1.47,-9.7,272,3809.88,3819.2,3934.08,3854.39,1.8,265,8.072623771
22,2019/1/1 22:00,3.18,-9.9,292,4016.98,3993.42,4115.46,4041.95,1.9,275,8.499591852
23,2019/1/1 23:00,3.47,-10.1,296,4057.9,4102.62,4111.4,4090.64,1.5,268,8.61579488
24,2019/1/2 0:00,4.43,-9.2,309,4162.27,4151.25,4233.17,4182.23,1.4,262,8.814133488
25,2019/1/2 1:00,4.55,-9.4,310,4149.36,4206.25,4247.04,4200.88,1.9,265,8.825954978
26,2019/1/2 2:00,5.45,-9.4,313,4193.28,4233.17,4267.56,4231.34,1.8,271,8.927323562
27,2019/1/2 3:00,5.14,-8.5,320,4239.9,4241.1,4288.81,4256.6,0.9,264,8.993092311
28,2019/1/2 4:00,5.6,-8,326,4314.53,4328.64,4382.19,4341.79,0.6,281,9.174610886
29,2019/1/2 5:00,6.41,-8,331,4308.36,4309.2,4408.96,4342.17,1.2,276,9.166628462
30,2019/1/2 6:00,6.74,-8.1,334,4321.96,4375.62,4422.24,4373.27,1.2,269,9.22637093
31,2019/1/2 7:00,6.95,-7.5,334,4335.5,4382.4,4442.16,4386.69,0.9,275,9.26106829
