date,clear_sky_rad:W,clear_sky_energy_1h:J,direct_rad:W,global_rad_1h:Wh,sunshine_duration_1h:min,total_cloud_cover:p,effective_cloud_cover:p,relative_humidity_2m:p,wind_speed_2m:ms,relative_humidity_10m:p,wind_speed_10m:ms,relative_humidity_50m:p,relative_humidity_100m:p,OT
2020/1/2 0:00,0,0,0,0,0,100,96.2,95.1,1.4,93.8,2,89.1,85.7,0
2020/1/2 1:00,0,0,0,0,0,100,98.2,91.4,1.9,90.6,2.7,87.4,84.6,0
2020/1/2 2:00,0,0,0,0,0,100,99.8,91.9,1.1,90.1,1.6,83.5,78.2,0
2020/1/2 3:00,0,0,0,0,0,100,99.9,88.4,1.5,86.7,2.1,80.2,74.9,0
2020/1/2 4:00,0,0,0,0,0,100,96.1,86.3,1,84.4,1.4,77.7,72.4,0
2020/1/2 5:00,0,0,0,0,0,100,91.2,86,0.8,83.7,1.2,75.5,70,0
2020/1/2 6:00,0,0,0,0,0,100,86.1,81.6,1.5,79.4,2.1,71.9,66.8,0
2020/1/2 7:00,0,0,0,0,0,100,55.7,85.7,1.4,82.7,2,72.2,64.8,0
2020/1/2 8:00,0,0,0,0,0,100,56.9,83,2.6,80.4,3.8,71,64,0
2020/1/2 9:00,0,0,0,0,0.8,100,58.2,76.1,2.9,74,4.2,66.8,61.5,0
2020/1/2 10:00,15.6,22084.2,1.2,7.548,55,99.5,54,71.9,3,70.2,4.3,64.2,60,0
2020/1/2 11:00,27.4,80631.2,9.2,23.176,59.5,86.9,44,65.5,3.4,63.9,4.8,58.6,54.9,0
2020/1/2 12:00,25.3,99379.3,8.9,27.832,35.5,68.6,55.8,69.6,2.1,67.7,3,61,56.6,0
2020/1/2 13:00,10.7,67572.9,0.9,14.521,1.1,99.8,99,68.8,1.9,66.7,2.7,59.5,54.7,0
2020/1/2 14:00,0,10131.6,0,2.317,0,100,100,68.7,2.5,67.2,3.5,61.6,57.7,0
2020/1/2 15:00,0,0,0,0,0,99.7,99.7,73.4,3.1,71.7,4.4,65.8,61.5,0
2020/1/2 16:00,0,0,0,0,0,99.3,99.3,77.1,3.1,75.4,4.4,69.5,65.2,0
2020/1/2 17:00,0,0,0,0,0,99.5,99.4,77,2.9,75.5,4.2,69.9,65.9,0
2020/1/2 18:00,0,0,0,0,0,88.9,88.4,76.1,3,74.6,4.3,69.3,65.5,0
2020/1/2 19:00,0,0,0,0,0,99.9,98.3,74.2,3.5,72.6,5.1,66.9,62.8,0
2020/1/2 20:00,0,0,0,0,0,97.4,73.6,74.6,3.8,73.3,5.4,68.9,65.7,0
2020/1/2 21:00,0,0,0,0,0,100,55.2,74.9,3.9,73.5,5.7,68.8,65.5,0
2020/1/2 22:00,0,0,0,0,0,97.7,49.4,73.2,3.7,71.9,5.3,67.4,64.4,0
2020/1/2 23:00,0,0,0,0,0,39.2,27.4,72.5,2.7,71.2,3.9,66.6,63.4,0
2020/1/3 0:00,0,0,0,0,0,96.2,96.2,80,1.9,77.9,2.7,70.6,65.6,0
2020/1/3 1:00,0,0,0,0,0,100,100,100,3,100,4.3,100,100,0
2020/1/3 2:00,0,0,0,0,0,100,100,98.4,2.2,98.4,3.1,98.6,98.8,0
2020/1/3 3:00,0,0,0,0,0,100,100,95.7,2.6,96,3.8,97,97.9,0
2020/1/3 4:00,0,0,0,0,0,99.2,99.1,96.1,3.1,95.4,4.5,93.1,91.6,0
2020/1/3 5:00,0,0,0,0,0,96.5,96.5,96.1,3.9,95.6,5.7,94,93,0
2020/1/3 6:00,0,0,0,0,0,97.4,97.2,96,4.7,95.4,6.7,93.2,91.7,0
2020/1/3 7:00,0,0,0,0,0,99.8,99.8,90.2,4.5,89.6,6.5,87.2,85.4,0
2020/1/3 8:00,0,0,0,0,0,97.7,97.2,81.2,4,80.5,5.8,77.9,75.9,0
2020/1/3 9:00,0,0,0,0,0,99.1,98.5,79.4,3.8,79.1,5.5,77.7,76.7,0
2020/1/3 10:00,16.1,23673.2,0.2,3.208,0.4,99.9,99.8,81,3.9,80.9,5.6,80.5,80.3,0
2020/1/3 11:00,28.2,83056.4,0.9,9.302,2,98.3,97.8,80.1,4.8,80.1,7,80.2,80.4,0
2020/1/3 12:00,26.2,102495.3,3.4,15.842,5.4,97.1,96.7,74.1,6.3,74.1,9,74,74.2,0
2020/1/3 13:00,11.5,70570,1.6,15.017,6.6,97.3,95.9,69.2,5,69.1,7.2,69.2,69.5,0
2020/1/3 14:00,0,11686.7,0,5.269,1,98.6,98.5,68.3,4.9,68.2,7.1,67.6,67.5,0
2020/1/3 15:00,0,0,0,0,0,100,100,75.9,3.9,75.9,5.7,76.1,76.4,0
2020/1/3 16:00,0,0,0,0,0,99.8,99.8,79.3,3.8,79.4,5.5,80,80.5,0
2020/1/3 17:00,0,0,0,0,0,91.4,90.9,74.1,4,74.1,5.7,74.3,74.7,0
2020/1/3 18:00,0,0,0,0,0,98.8,98,69,5.1,68.9,7.3,68.5,68.4,0
2020/1/3 19:00,0,0,0,0,0,98.7,98.7,55.9,5.2,55.4,7.5,53.7,52.7,0
2020/1/3 20:00,0,0,0,0,0,99.5,99.1,64.3,6.1,64.1,8.8,63.5,63.3,0
2020/1/3 21:00,0,0,0,0,0,99.8,99.5,70.5,6.8,70.4,9.8,70.1,70.1,0
2020/1/3 22:00,0,0,0,0,0,99.5,98.6,81.3,5.6,81.5,8,82.4,83.3,0
2020/1/3 23:00,0,0,0,0,0,99.8,98.5,86.4,6.6,86.4,9.5,86.5,86.7,0
2020/1/4 0:00,0,0,0,0,0,100,99.5,86.5,7.1,86.7,10.3,87.5,88.4,0
2020/1/4 1:00,0,0,0,0,0,94.4,90.7,80.3,6.2,80.3,8.8,80.1,80.2,0
2020/1/4 2:00,0,0,0,0,0,94.3,92.8,84.8,6.1,84.9,8.8,85.1,85.6,0
2020/1/4 3:00,0,0,0,0,0,88.9,84.6,87,6.4,87,9.1,87.3,87.8,0
2020/1/4 4:00,0,0,0,0,0,94.4,91.7,90.6,6.6,90.8,9.5,91.6,92.6,0
2020/1/4 5:00,0,0,0,0,0,87.7,82.7,89.4,6.1,89.6,8.8,90.5,91.4,0
2020/1/4 6:00,0,0,0,0,0,82.3,79,91.9,6.5,92.1,9.4,93.3,94.7,0
2020/1/4 7:00,0,0,0,0,0,97.5,96.6,90.9,6.7,91.2,9.7,92.3,93.5,0
2020/1/4 8:00,0,0,0,0,0,92.8,91.3,85.4,5.8,85.5,8.3,86.4,87.5,0
2020/1/4 9:00,0,0,0,0,1.2,76.7,75.6,80.8,6.2,80.8,8.9,81.2,82,0
2020/1/4 10:00,16.7,25452.2,1.2,5.442,19.6,85.8,84.9,81.8,5.5,81.9,8,82.4,83.4,0
2020/1/4 11:00,29.1,85754.8,2.6,15.504,11.9,90.9,90.7,79.8,5.1,79.9,7.4,80.2,80.9,0
2020/1/4 12:00,27.1,105926.6,3.7,20.066,20,82.9,82.4,82.6,5.3,82.7,7.6,83.2,84.2,0
2020/1/4 13:00,12.3,73827.3,2.4,15.423,31.7,69.8,69.8,77.3,4.9,77.1,7.1,76.4,76.2,0
2020/1/4 14:00,0,13441.8,0,5.419,21.7,70.9,70.9,77,5.3,76.8,7.6,76.5,76.9,0
2020/1/4 15:00,0,0,0,0,0,71.6,71.6,85.2,4.6,85,6.6,84.8,85.7,0
2020/1/4 16:00,0,0,0,0,0,72.7,72.7,90,4.3,89.7,6.2,90.1,91.5,0
2020/1/4 17:00,0,0,0,0,0,76.8,76.8,88,3.6,87.7,5.2,87.4,88.3,0
2020/1/4 18:00,0,0,0,0,0,84.1,84.1,88.9,3.4,88.5,4.8,88.1,89.2,0
2020/1/4 19:00,0,0,0,0,0,83.2,83.2,86.4,4,86.1,5.8,85.3,86.5,0
2020/1/4 20:00,0,0,0,0,0,81.3,81.3,86.7,4.2,86.3,6,85.3,86.6,0
2020/1/4 21:00,0,0,0,0,0,77.6,77.6,89.4,3.8,89.2,5.4,88.5,89.8,0
2020/1/4 22:00,0,0,0,0,0,58.5,58.5,89.8,2.9,89.5,4.2,88.4,89.3,0
2020/1/4 23:00,0,0,0,0,0,89.5,62.5,91,2.2,90.5,3.2,88.7,88.4,0
2020/1/5 0:00,0,0,0,0,0,100,77.6,90.5,2.3,90,3.3,88.3,86.3,0
2020/1/5 1:00,0,0,0,0,0,100,89.8,90,2.1,89.7,3.1,89,89.1,0
2020/1/5 2:00,0,0,0,0,0,100,97.6,89.9,1.9,89.6,2.7,88.8,88.5,0
2020/1/5 3:00,0,0,0,0,0,100,99.8,89,1.9,88.7,2.7,87.7,86.8,0
2020/1/5 4:00,0,0,0,0,0,100,99.9,86.5,2,86.2,2.9,84.6,82.5,0
2020/1/5 5:00,0,0,0,0,0,100,100,84.9,1.9,84.5,2.7,81.5,77.8,0
2020/1/5 6:00,0,0,0,0,0,100,100,79.7,2.1,79.1,3.1,74.7,70.4,0
2020/1/5 7:00,0,0,0,0,0,100,100,71,2.7,69.7,3.9,64.2,58.7,0
2020/1/5 8:00,0,0,0,0,0,100,100,67.5,3.1,66.7,4.4,63.7,61.2,0
2020/1/5 9:00,0,0,0,0,0,100,100,70.8,3.2,70.3,4.6,68.7,67.8,0
2020/1/5 10:00,17.4,27422,0,1.368,0,100,100,77.7,3,77.4,4.2,76.4,76,0
2020/1/5 11:00,30,88736.6,0,3.724,0,100,100,80.2,2.7,79.8,3.9,78.3,77.1,0
2020/1/5 12:00,28.2,109686,0,4.275,0,100,100,73.1,2.3,72.7,3.3,71.5,70.7,0
2020/1/5 13:00,13.2,77356.7,0,3.011,0,100,100,81.9,2.6,81.6,3.8,80.7,80.3,0
2020/1/5 14:00,0,15303.8,0,1.092,0,100,100,81.6,1.7,81.4,2.5,80.7,80.2,0
2020/1/5 15:00,0,0,0,0,0,100,93.7,82.6,2.1,82.5,3,81.9,81.5,0
2020/1/5 16:00,0,0,0,0,0,99.4,95.9,84.4,1.3,84.2,1.8,83.4,82.8,0
2020/1/5 17:00,0,0,0,0,0,99.9,99.8,88.2,0.8,87.9,1.2,86.6,85.7,0
2020/1/5 18:00,0,0,0,0,0,94.7,94.7,89.4,1.6,89.2,2.4,88.4,87.8,0
2020/1/5 19:00,0,0,0,0,0,82.6,82.3,83.7,2.8,83.4,4,82.1,81.3,0
2020/1/5 20:00,0,0,0,0,0,80,78.4,84.4,3.3,84,4.8,82.8,82,0
2020/1/5 21:00,0,0,0,0,0,67.5,52.3,85.6,3.2,85.3,4.6,84,83.1,0
2020/1/5 22:00,0,0,0,0,0,66,42.3,88.7,2.4,88.2,3.4,86.2,84.6,0
2020/1/5 23:00,0,0,0,0,0,93.4,61.5,91.3,1.5,91.1,2.1,89.8,88.6,0
2020/1/6 0:00,0,0,0,0,0,99.9,98.2,92.6,1.3,92.5,1.9,91.2,89.4,0
2020/1/6 1:00,0,0,0,0,0,99.4,98.3,91,1.6,90.7,2.3,89,87.3,0
2020/1/6 2:00,0,0,0,0,0,86.6,77.7,95.6,1.7,95.2,2.4,92.7,90,0
2020/1/6 3:00,0,0,0,0,0,89.7,78.6,96,1.3,95.3,1.9,91.8,88.1,0
2020/1/6 4:00,0,0,0,0,0,96.5,96.3,93.6,1.3,92.8,1.9,88.9,84.9,0
2020/1/6 5:00,0,0,0,0,0,99.9,96.9,88.1,1.3,87.2,1.8,83.4,79.7,0
2020/1/6 6:00,0,0,0,0,0,99.9,99.5,82.3,1.8,81.4,2.6,77.8,74.4,0
2020/1/6 7:00,0,0,0,0,0,100,100,77.4,1.8,76.9,2.6,74.9,73.1,0
2020/1/6 8:00,0,0,0,0,0,100,100,82.8,1.8,81.4,2.6,76.1,72.4,0
2020/1/6 9:00,0,0,0,0,0,100,100,77.6,2,76.6,2.9,73,69.8,0
2020/1/6 10:00,18.2,29584.2,0,1.767,0,100,100,75,1.4,74.2,2.1,70.9,68.1,0
2020/1/6 11:00,31.1,92013.5,0,4.686,0,100,100,73.3,0.9,72.6,1.3,69.8,67.3,0
2020/1/6 12:00,29.4,113787.3,0,7.24,3,99.9,97.7,75.5,0.9,74.2,1.3,69.6,66.2,0
2020/1/6 13:00,14.2,81171.5,0,8.355,3.5,100,97.1,79.3,1.6,78.1,2.3,73.6,69.7,0
2020/1/6 14:00,0,17272.7,0,4.034,49.8,99.2,52.6,79.1,1.2,77.7,1.8,72.4,67.9,0
2020/1/6 15:00,0,0,0,0,0,99.4,55,81,1.2,79.3,1.7,73,68,0
2020/1/6 16:00,0,0,0,0,0,86.1,43.9,86.1,1.1,84.3,1.6,77.9,72.9,0
2020/1/6 17:00,0,0,0,0,0,81.5,40.8,87.6,1.1,86,1.5,80.2,76,0
2020/1/6 18:00,0,0,0,0,0,73.1,36.5,88.7,1.2,87.3,1.7,82.1,78.5,0
2020/1/6 19:00,0,0,0,0,0,5,2.9,84.7,1.8,83.8,2.6,80.4,77.9,0
2020/1/6 20:00,0,0,0,0,0,39.6,20.5,87.7,1.3,86.6,1.8,82.9,80.6,0
2020/1/6 21:00,0,0,0,0,0,97.5,49.7,86.7,0.7,85.6,1,81.8,79.2,0
2020/1/6 22:00,0,0,0,0,0,96.4,50.4,88.6,1.2,87.1,1.7,81.4,77,0
2020/1/6 23:00,0,0,0,0,0,96.9,56.1,90.8,1.4,88.8,2,81.3,75.3,0
2020/1/7 0:00,0,0,0,0,0,98.8,89.4,89.5,1.3,87.3,1.8,79,72.3,0
2020/1/7 1:00,0,0,0,0,0,99.2,89.4,87.9,1.9,85.8,2.7,77.6,70.7,0
2020/1/7 2:00,0,0,0,0,0,100,100,87.8,1.5,85.7,2.2,77.9,71.3,0
2020/1/7 3:00,0,0,0,0,0,100,100,90.2,1.6,88.5,2.3,81.5,75.6,0
2020/1/7 4:00,0,0,0,0,0,98,97.9,90.6,1.5,89.1,2.2,83.4,78.5,0
2020/1/7 5:00,0,0,0,0,0,95.9,95.9,92.2,1.7,91,2.4,85.9,81.3,0
2020/1/7 6:00,0,0,0,0,0,48.7,48.7,94.2,1.7,93.4,2.4,89.8,86.6,0
2020/1/7 7:00,0,0,0,0,0,97.3,97.3,85.8,2.2,85.2,3.1,82.7,80.5,0
2020/1/7 8:00,0,0,0,0,0,41.5,41.5,85.9,2,85,2.9,81.6,78.6,0
2020/1/7 9:00,0,0,0,0,6.9,10.9,6.1,87.3,2.3,85.8,3.3,79.9,74.8,0
2020/1/7 10:00,19,31940.7,7.3,11.307,60,97.2,48.6,84.8,2,82.9,2.9,75.6,69.3,0
2020/1/7 11:00,32.3,95598.1,8.3,30.283,60,98.7,49.4,80.8,1.8,78.9,2.6,71.6,65.3,0
2020/1/7 12:00,30.6,118245,3.1,32.975,59.9,100,50.1,76.3,2,74.4,2.9,67.2,61.2,0
2020/1/7 13:00,15.2,85286.9,0,19.077,10.7,100,91.3,74.4,2.3,72.8,3.3,66.7,61.6,0
2020/1/7 14:00,0,19348.9,0,5.078,0.5,100,99.6,68.7,3.1,67.4,4.5,62.7,58.8,0
2020/1/7 15:00,0,0,0,0,0,100,99.4,67.1,3,65.8,4.4,61.4,58,0
2020/1/7 16:00,0,0,0,0,0,100,99.9,64.1,2.6,62.9,3.8,58.8,55.9,0
2020/1/7 17:00,0,0,0,0,0,100,99.4,61.9,3,60.7,4.3,56.5,53.4,0
2020/1/7 18:00,0,0,0,0,0,100,99.7,67.3,3.6,65.9,5.1,61.1,57.6,0
2020/1/7 19:00,0,0,0,0,0,99.6,71.7,69.3,3.8,68.1,5.5,63.7,60.4,0
2020/1/7 20:00,0,0,0,0,0,100,99.9,69.2,4.8,68.1,7,64.1,61.3,0
2020/1/7 21:00,0,0,0,0,0,99,98.4,68.6,4.5,67.6,6.4,64.2,61.9,0
2020/1/7 22:00,0,0,0,0,0,100,99.7,73.7,3.4,72.8,4.8,69.6,67.4,0
2020/1/7 23:00,0,0,0,0,0,94.7,91.1,88,2.6,85.7,3.8,78,72.8,0
